Pair,High,Low,Last Price,Volume,Timestamp
ADAUSD,1.088357,0.98617,1.056036,19658466.4,1736986700
DOTUSD,7.1958,6.5596,7.089,332490.9254,1736986700
XETHZUSD,3473.02,3186.61,3427.9,14695.42685,1736986700
LINKUSD,22.14999,20.11,21.76,252827.4383,1736986700
XLTCZUSD,118.76,100.79,115.96,33311.46753,1736986700
MATICUSD,0.4887,0.4468,0.4819,970131.469,1736986700
SOLUSD,206.22,185.88,204.41,228121.542,1736986700
XXBTZUSD,100731.7,96500,100110.5,2237.479064,1736986700
XDGUSD,0.3877544,0.3483396,0.3801157,94465966.67,1736986700
XXRPZUSD,3.2,2.66102,3.0511,117068267.8,1736986700
ADAUSD,1.088357,0.98617,1.055987,19669689.28,1736986760
DOTUSD,7.1958,6.5596,7.0814,332215.4889,1736986760
XETHZUSD,3473.02,3186.61,3421.01,14717.04008,1736986760
LINKUSD,22.14999,20.11,21.71652,252978.3764,1736986760
XLTCZUSD,118.76,100.79,115.9,33309.85704,1736986760
MATICUSD,0.4887,0.4468,0.4814,970172.9456,1736986760
SOLUSD,206.22,185.88,204.2,228396.0184,1736986760
XXBTZUSD,100731.7,96500,100109.7,2237.548471,1736986760
XDGUSD,0.3877544,0.3483396,0.3794,95316792.15,1736986760
XXRPZUSD,3.2,2.66102,3.0473,117475990,1736986760
ADAUSD,1.088357,0.98617,1.059549,19670414.17,1736986820
DOTUSD,7.1958,6.5596,7.088,334940.544,1736986820
XETHZUSD,3473.02,3186.61,3428.04,14720.63458,1736986820
LINKUSD,22.14999,20.11,21.83795,253035.1088,1736986820
XLTCZUSD,118.76,100.79,116.8,33459.0916,1736986820
MATICUSD,0.4887,0.4468,0.4814,970097.9943,1736986820
SOLUSD,206.22,185.88,204.63,228550.0997,1736986820
XXBTZUSD,100731.7,96500,100338.7,2233.494468,1736986820
XDGUSD,0.3877544,0.3483396,0.3813003,95230124.21,1736986820
XXRPZUSD,3.2,2.66102,3.06251,117581812.2,1736986820
ADAUSD,1.088357,0.98617,1.05894,19684178.97,1736986880
DOTUSD,7.1958,6.5596,7.0948,334978.6941,1736986880
XETHZUSD,3473.02,3186.61,3426.34,14720.8123,1736986880
LINKUSD,22.14999,20.11,21.76461,252825.4015,1736986880
XLTCZUSD,118.76,100.79,116.22,33480.23067,1736986880
MATICUSD,0.4887,0.4468,0.4814,970097.9943,1736986880
SOLUSD,206.22,185.88,204.4,228558.1811,1736986880
XXBTZUSD,100731.7,96500,100350.1,2233.933402,1736986880
XDGUSD,0.3877544,0.3483396,0.3802359,95092908.36,1736986880
XXRPZUSD,3.2,2.66102,3.04687,117698169.8,1736986880
ADAUSD,1.088357,0.98617,1.055621,19683597.85,1736986941
DOTUSD,7.1958,6.5596,7.0948,334694.6032,1736986941
XETHZUSD,3473.02,3186.61,3423.04,14724.35522,1736986941
LINKUSD,22.14999,20.11,21.73,252912.8229,1736986941
XLTCZUSD,118.76,100.79,115.95,33491.61203,1736986941
MATICUSD,0.4887,0.4468,0.482,970597.9943,1736986941
SOLUSD,206.22,185.88,204.32,228538.5556,1736986941
XXBTZUSD,100731.7,96500,100252,2234.270786,1736986941
XDGUSD,0.3877544,0.3483396,0.3793578,95161265.69,1736986941
XXRPZUSD,3.2,2.66102,3.03919,117819177.8,1736986941
ADAUSD,1.088357,0.98617,1.055879,19647470.06,1736987001
DOTUSD,7.1958,6.5596,7.0766,337368.7467,1736987001
XETHZUSD,3473.02,3186.61,3423.18,14720.05063,1736987001
LINKUSD,22.14999,20.11,21.70196,252931.5139,1736987001
XLTCZUSD,118.76,100.79,116.4,33504.21882,1736987001
MATICUSD,0.4887,0.4468,0.481,971868.8499,1736987001
SOLUSD,206.22,185.88,204.43,228656.7626,1736987001
XXBTZUSD,100731.7,96500,100334,2230.87731,1736987001
XDGUSD,0.3877544,0.3483396,0.3796315,95168819.49,1736987001
XXRPZUSD,3.2,2.66102,3.04591,117868678.2,1736987001
ADAUSD,1.088357,0.98617,1.059178,19647542.27,1736987061
DOTUSD,7.1958,6.5596,7.0925,337152.7171,1736987061
XETHZUSD,3473.02,3186.61,3427.25,14720.08469,1736987061
LINKUSD,22.14999,20.11,21.76029,254110.0334,1736987061
XLTCZUSD,118.76,100.79,116.38,33505.70323,1736987061
MATICUSD,0.4887,0.4468,0.481,971868.8499,1736987061
SOLUSD,206.22,185.88,204.54,228091.7342,1736987061
XXBTZUSD,100731.7,96500,100388.9,2230.150346,1736987061
XDGUSD,0.3877544,0.3483396,0.3800657,95085934.83,1736987061
XXRPZUSD,3.2,2.66102,3.05293,117772223.4,1736987061
ADAUSD,1.088357,0.98617,1.060293,19647306.91,1736987121
DOTUSD,7.1958,6.5596,7.0925,336832.0683,1736987121
XETHZUSD,3473.02,3186.61,3430.32,14724.34565,1736987121
LINKUSD,22.14999,20.11,21.76029,254289.115,1736987121
XLTCZUSD,118.76,100.79,116.67,33501.13264,1736987121
MATICUSD,0.4887,0.4468,0.4832,971908.9378,1736987121
SOLUSD,206.22,185.88,204.79,228086.3445,1736987121
XXBTZUSD,100731.7,96500,100459.1,2235.158908,1736987121
XDGUSD,0.3877544,0.3483396,0.3803638,94948687.53,1736987121
XXRPZUSD,3.2,2.66102,3.0508,118031768,1736987121
ADAUSD,1.088357,0.98617,1.0594,19646404.71,1736987181
DOTUSD,7.1958,6.5596,7.0887,337267.9228,1736987181
XETHZUSD,3473.02,3186.61,3429.45,14713.79522,1736987181
LINKUSD,22.14999,20.11,21.76029,254265.5093,1736987181
XLTCZUSD,118.76,100.79,116.38,33537.655,1736987181
MATICUSD,0.4887,0.4468,0.4832,971445.1965,1736987181
SOLUSD,206.22,185.88,205.05,228314.6275,1736987181
XXBTZUSD,100731.7,96500,100430.5,2233.053604,1736987181
XDGUSD,0.3877544,0.3483396,0.3811247,94631352.71,1736987181
XXRPZUSD,3.2,2.66102,3.04672,118027371.1,1736987181
ADAUSD,1.088357,0.98617,1.058644,19646647.05,1736987242
DOTUSD,7.1958,6.5596,7.0789,337100.7397,1736987242
XETHZUSD,3473.02,3186.61,3429.45,14713.29701,1736987242
LINKUSD,22.14999,20.11,21.80119,254269.4239,1736987242
XLTCZUSD,118.76,100.79,116.3,33674.61632,1736987242
MATICUSD,0.4887,0.4468,0.4832,971445.1965,1736987242
SOLUSD,206.22,185.88,205.1,228302.1913,1736987242
XXBTZUSD,100731.7,96500,100499.9,2234.448607,1736987242
XDGUSD,0.3877544,0.3483396,0.380421,94965654.87,1736987242
XXRPZUSD,3.2,2.66102,3.04387,118037636.9,1736987242
ADAUSD,1.088357,0.98617,1.057,19644951.66,1736987302
DOTUSD,7.1958,6.5596,7.0789,336942.2843,1736987302
XETHZUSD,3473.02,3186.61,3425.96,14888.5265,1736987302
LINKUSD,22.14999,20.11,21.77174,254229.9763,1736987302
XLTCZUSD,118.76,100.79,116.02,33714.53221,1736987302
MATICUSD,0.4887,0.4468,0.4832,971357.8912,1736987302
SOLUSD,206.22,185.88,205.01,228286.8522,1736987302
XXBTZUSD,100731.7,96500,100476.6,2240.585318,1736987302
XDGUSD,0.3877544,0.3483396,0.3796316,94976309.21,1736987302
XXRPZUSD,3.2,2.66102,3.03694,118057420.3,1736987302
ADAUSD,1.088357,0.98617,1.05574,19665916.6,1736987362
DOTUSD,7.1958,6.5596,7.0789,336942.2843,1736987362
XETHZUSD,3473.02,3186.61,3423.76,14893.48368,1736987362
LINKUSD,22.14999,20.11,21.77174,254229.9763,1736987362
XLTCZUSD,118.76,100.79,115.82,33863.1816,1736987362
MATICUSD,0.4887,0.4468,0.4832,971357.8912,1736987362
SOLUSD,206.22,185.88,204.7,228337.9252,1736987362
XXBTZUSD,100731.7,96500,100368.7,2240.690137,1736987362
XDGUSD,0.3877544,0.3483396,0.3790305,95059343.24,1736987362
XXRPZUSD,3.2,2.66102,3.02701,118179702.2,1736987362
ADAUSD,1.088357,0.98617,1.05647,19676424.44,1736987422
DOTUSD,7.1958,6.5596,7.0734,336929.7043,1736987422
XETHZUSD,3473.02,3186.61,3422.82,14894.68916,1736987422
LINKUSD,22.14999,20.11,21.74229,254187.8605,1736987422
XLTCZUSD,118.76,100.79,116.77,34159.56561,1736987422
MATICUSD,0.4887,0.4468,0.4832,971357.8912,1736987422
SOLUSD,206.22,185.88,204.75,228356.1616,1736987422
XXBTZUSD,100731.7,96500,100353.1,2240.224264,1736987422
XDGUSD,0.3877544,0.3483396,0.3795592,95086052.38,1736987422
XXRPZUSD,3.2,2.66102,3.03032,118293212.2,1736987422
ADAUSD,1.088357,0.98617,1.053852,19678363.48,1736987483
DOTUSD,7.1958,6.5596,7.0627,336952.0151,1736987483
XETHZUSD,3473.02,3186.61,3422.46,14893.56036,1736987483
LINKUSD,22.14999,20.11,21.74229,254094.651,1736987483
XLTCZUSD,118.76,100.79,116.68,34160.84078,1736987483
MATICUSD,0.4887,0.4468,0.4832,971338.6964,1736987483
SOLUSD,206.22,185.88,204.83,228357.0385,1736987483
XXBTZUSD,100731.7,96500,100300.1,2237.446107,1736987483
XDGUSD,0.3877544,0.3483396,0.3786534,95122209.11,1736987483
XXRPZUSD,3.2,2.66102,3.01797,118529393.1,1736987483
ADAUSD,1.088357,0.98617,1.050435,19639896.97,1736987543
DOTUSD,7.1958,6.5596,7.0382,337418.6699,1736987543
XETHZUSD,3473.02,3186.61,3420.21,14897.62806,1736987543
LINKUSD,22.14999,20.11,21.65685,254017.4791,1736987543
XLTCZUSD,118.76,100.79,116.56,34196.94935,1736987543
MATICUSD,0.4887,0.4468,0.4803,972368.6964,1736987543
SOLUSD,206.22,185.88,204.67,228622.1647,1736987543
XXBTZUSD,100731.7,96500,100300,2239.918741,1736987543
XDGUSD,0.3877544,0.3483396,0.3781562,95155305.65,1736987543
XXRPZUSD,3.2,2.66102,3.00212,118657478.5,1736987543
ADAUSD,1.088357,0.98617,1.05281,19684438.38,1736987603
DOTUSD,7.1958,6.5596,7.0497,337442.8558,1736987603
XETHZUSD,3473.02,3186.61,3420.72,14899.03951,1736987603
LINKUSD,22.14999,20.11,21.65615,254001.2286,1736987603
XLTCZUSD,118.76,100.79,116.64,34215.16447,1736987603
MATICUSD,0.4887,0.4468,0.4808,972391.7697,1736987603
SOLUSD,206.22,185.88,204.84,228539.0699,1736987603
XXBTZUSD,100731.7,96500,100252,2239.321777,1736987603
XDGUSD,0.3877544,0.3483396,0.3787136,95368406.5,1736987603
XXRPZUSD,3.2,2.66102,3.01182,118820374.6,1736987603
ADAUSD,1.088357,0.98617,1.050345,19685337.77,1736987663
DOTUSD,7.1958,6.5596,7.0517,337571.426,1736987663
XETHZUSD,3473.02,3186.61,3422.88,14842.89902,1736987663
LINKUSD,22.14999,20.11,21.65615,253836.7416,1736987663
XLTCZUSD,118.76,100.79,116.21,34879.50173,1736987663
MATICUSD,0.4887,0.4468,0.4809,972394.6811,1736987663
SOLUSD,206.22,185.88,204.79,228470.6759,1736987663
XXBTZUSD,100731.7,96500,100231.7,2239.309187,1736987663
XDGUSD,0.3877544,0.3483396,0.3784428,95371226.23,1736987663
XXRPZUSD,3.2,2.66102,3.00902,118896179.1,1736987663
ADAUSD,1.088357,0.98617,1.046423,19741542.45,1736987723
DOTUSD,7.1958,6.5596,7.043,337571.855,1736987723
XETHZUSD,3473.02,3186.61,3409.07,14881.22451,1736987723
LINKUSD,22.14999,20.11,21.63329,253470.9705,1736987723
XLTCZUSD,118.76,100.79,116.25,34883.13286,1736987723
MATICUSD,0.4887,0.4468,0.4801,972438.8041,1736987723
SOLUSD,206.22,185.88,204.14,228558.5818,1736987723
XXBTZUSD,100731.7,96500,100160.2,2238.622584,1736987723
XDGUSD,0.3877544,0.3483396,0.3770494,95464378.64,1736987723
XXRPZUSD,3.2,2.66102,2.98323,119429676.3,1736987723
ADAUSD,1.088357,0.98617,1.043893,19795950.57,1736987784
DOTUSD,7.1958,6.5596,7.0106,337876.2774,1736987784
XETHZUSD,3473.02,3186.61,3399.78,14924.62617,1736987784
LINKUSD,22.14999,20.11,21.5687,253643.8034,1736987784
XLTCZUSD,118.76,100.79,115.54,34875.30734,1736987784
MATICUSD,0.4887,0.4468,0.4789,974772.9178,1736987784
SOLUSD,206.22,185.88,203.66,228777.6526,1736987784
XXBTZUSD,100731.7,96500,100049.7,2239.276258,1736987784
XDGUSD,0.3877544,0.3483396,0.3760689,95842263.21,1736987784
XXRPZUSD,3.2,2.66102,2.96768,120775020.9,1736987784
ADAUSD,1.088357,0.98617,1.043317,19804501.15,1736987844
DOTUSD,7.1958,6.5596,7.0121,337989.4717,1736987844
XETHZUSD,3473.02,3186.61,3400.86,14945.80171,1736987844
LINKUSD,22.14999,20.11,21.5976,256046.5053,1736987844
XLTCZUSD,118.76,100.79,115.64,34889.9072,1736987844
MATICUSD,0.4887,0.4468,0.478,975433.0577,1736987844
SOLUSD,206.22,185.88,203.64,229757.1118,1736987844
XXBTZUSD,100731.7,96500,99857.8,2251.761873,1736987844
XDGUSD,0.3877544,0.3483396,0.3760345,95905906.2,1736987844
XXRPZUSD,3.2,2.66102,2.96723,121479822.7,1736987844
ADAUSD,1.088357,0.98617,1.042056,19815264.39,1736987904
DOTUSD,7.1958,6.5596,7.006,337963.8857,1736987904
XETHZUSD,3473.02,3186.61,3399.98,14947.50489,1736987904
LINKUSD,22.14999,20.11,21.51882,255571.1322,1736987904
XLTCZUSD,118.76,100.79,114.74,34946.66579,1736987904
MATICUSD,0.4887,0.4468,0.478,975433.0577,1736987904
SOLUSD,206.22,185.88,203.5,230288.2518,1736987904
XXBTZUSD,100731.7,96500,99796.8,2251.894004,1736987904
XDGUSD,0.3877544,0.3483396,0.3749957,96444547.1,1736987904
XXRPZUSD,3.2,2.66145,2.95245,122009616.3,1736987904
ADAUSD,1.088357,0.98617,1.038031,19839593.21,1736987964
DOTUSD,7.1958,6.5596,6.997,338566.0478,1736987964
XETHZUSD,3473.02,3186.61,3390.57,14983.42599,1736987964
LINKUSD,22.14999,20.11,21.47833,255700.5563,1736987964
XLTCZUSD,118.76,100.79,114.29,35029.39912,1736987964
MATICUSD,0.4887,0.4468,0.477,976055.8601,1736987964
SOLUSD,206.22,185.88,203.24,233472.6576,1736987964
XXBTZUSD,100731.7,96500,99715.3,2252.667157,1736987964
XDGUSD,0.3877544,0.3483396,0.3744037,96489487.08,1736987964
XXRPZUSD,3.2,2.66145,2.93315,122564480,1736987964
ADAUSD,1.088357,0.98617,1.038917,19853751.8,1736988024
DOTUSD,7.1958,6.5596,7.0028,338657.0767,1736988024
XETHZUSD,3473.02,3186.61,3388.07,15151.70661,1736988024
LINKUSD,22.14999,20.11,21.49,255972.2295,1736988024
XLTCZUSD,118.76,100.79,114.35,35045.76865,1736988024
MATICUSD,0.4887,0.4468,0.477,976055.8601,1736988024
SOLUSD,206.22,185.88,203.28,233695.9429,1736988024
XXBTZUSD,100731.7,96500,99716.2,2259.470605,1736988024
XDGUSD,0.3877544,0.3483396,0.373986,96566285.13,1736988024
XXRPZUSD,3.2,2.66145,2.95199,122649256.4,1736988024
ADAUSD,1.088357,0.98617,1.041654,19874050.25,1736988084
DOTUSD,7.1958,6.5596,7.0194,338735.0788,1736988084
XETHZUSD,3473.02,3186.61,3394.99,15152.18372,1736988084
LINKUSD,22.14999,20.11,21.54748,260715.9471,1736988084
XLTCZUSD,118.76,100.79,115,35367.77094,1736988084
MATICUSD,0.4887,0.4468,0.4775,977130.2624,1736988084
SOLUSD,206.22,185.88,203.84,233745.1522,1736988084
XXBTZUSD,100731.7,96500,99850,2260.026294,1736988084
XDGUSD,0.3877544,0.3483396,0.3755193,96573907.2,1736988084
XXRPZUSD,3.2,2.66145,2.95446,122906159.9,1736988084
ADAUSD,1.088357,0.98617,1.041332,19843003.98,1736988145
DOTUSD,7.1958,6.5596,7.0194,338735.0788,1736988145
XETHZUSD,3473.02,3186.61,3391.32,15157.19668,1736988145
LINKUSD,22.14999,20.11,21.56326,260710.6024,1736988145
XLTCZUSD,118.76,100.79,114.55,35391.48667,1736988145
MATICUSD,0.4887,0.4468,0.4775,977130.2624,1736988145
SOLUSD,206.22,185.88,203.78,233750.7885,1736988145
XXBTZUSD,100731.7,96500,99806,2260.086774,1736988145
XDGUSD,0.3877544,0.3483396,0.3750469,96592644.57,1736988145
XXRPZUSD,3.2,2.66145,2.95591,122980341.3,1736988145
ADAUSD,1.088357,0.98617,1.040494,19842861.89,1736988205
DOTUSD,7.1958,6.5596,7.0053,338673.0452,1736988205
XETHZUSD,3473.02,3186.61,3389.43,15149.24118,1736988205
LINKUSD,22.14999,20.11,21.54991,260585.3922,1736988205
XLTCZUSD,118.76,100.79,114.49,35412.69512,1736988205
MATICUSD,0.4887,0.4468,0.4776,977630.2624,1736988205
SOLUSD,206.22,185.88,203.65,233731.9882,1736988205
XXBTZUSD,100731.7,96500,99676.8,2260.027619,1736988205
XDGUSD,0.3877544,0.3483396,0.374333,96649382.57,1736988205
XXRPZUSD,3.2,2.66145,2.95318,123296303.9,1736988205
ADAUSD,1.088357,0.98617,1.041037,19845386.82,1736988265
DOTUSD,7.1958,6.5596,7.0036,338798.0655,1736988265
XETHZUSD,3473.02,3186.61,3391.02,15154.78359,1736988265
LINKUSD,22.14999,20.11,21.55092,260788.9656,1736988265
XLTCZUSD,118.76,100.79,115.05,35461.47734,1736988265
MATICUSD,0.4887,0.4468,0.4776,977630.2624,1736988265
SOLUSD,206.22,185.88,203.74,235170.7697,1736988265
XXBTZUSD,100731.7,96500,99667.6,2260.895838,1736988265
XDGUSD,0.3877544,0.3483396,0.3743257,96637580.7,1736988265
XXRPZUSD,3.2,2.66145,2.9559,123419561.7,1736988265
ADAUSD,1.088357,0.98617,1.042889,20150686.13,1736988326
DOTUSD,7.1958,6.5596,7.0285,338981.591,1736988326
XETHZUSD,3473.02,3186.61,3394.99,15153.26652,1736988326
LINKUSD,22.14999,20.11,21.6093,261078.3462,1736988326
XLTCZUSD,118.76,100.79,114.94,35624.04825,1736988326
MATICUSD,0.4887,0.4468,0.4776,977630.2624,1736988326
SOLUSD,206.22,185.88,203.98,235187.4747,1736988326
XXBTZUSD,100731.7,96500,99781.5,2260.367034,1736988326
XDGUSD,0.3877544,0.3483396,0.3751361,96643461.11,1736988326
XXRPZUSD,3.2,2.66145,2.97414,123673224.8,1736988326
ADAUSD,1.088357,0.98617,1.042801,20151525.96,1736988386
DOTUSD,7.1958,6.5596,7.0308,338323.4057,1736988386
XETHZUSD,3473.02,3186.61,3395,15153.45608,1736988386
LINKUSD,22.14999,20.11,21.62946,261126.2012,1736988386
XLTCZUSD,118.76,100.79,114.59,35596.85225,1736988386
MATICUSD,0.4887,0.4468,0.4776,977630.2624,1736988386
SOLUSD,206.22,185.88,204.25,235262.1249,1736988386
XXBTZUSD,100731.7,96500,99791.8,2260.845021,1736988386
XDGUSD,0.3877544,0.3483396,0.3749508,96704748.07,1736988386
XXRPZUSD,3.2,2.66562,2.96315,123764349.8,1736988386
ADAUSD,1.088357,0.98617,1.043079,20152543.35,1736988446
DOTUSD,7.1958,6.5596,7.0285,338307.0835,1736988446
XETHZUSD,3473.02,3186.61,3395.14,15156.02783,1736988446
LINKUSD,22.14999,20.11,21.62946,261122.0104,1736988446
XLTCZUSD,118.76,100.79,114.52,35575.28434,1736988446
MATICUSD,0.4887,0.4468,0.4776,977630.2624,1736988446
SOLUSD,206.22,185.88,204.35,235378.1915,1736988446
XXBTZUSD,100731.7,96500,99700,2260.695053,1736988446
XDGUSD,0.3877544,0.3483396,0.3748424,96759307.86,1736988446
XXRPZUSD,3.2,2.66735,2.96425,123805927.5,1736988446
ADAUSD,1.088357,0.98617,1.044215,20156094.04,1736988506
DOTUSD,7.1958,6.5596,7.0285,338307.0835,1736988506
XETHZUSD,3473.02,3186.61,3393.76,15163.48616,1736988506
LINKUSD,22.14999,20.11,21.62946,261120.8553,1736988506
XLTCZUSD,118.76,100.79,114.94,35577.65658,1736988506
MATICUSD,0.4887,0.4468,0.4776,977630.2624,1736988506
SOLUSD,206.22,185.88,204.17,235382.3233,1736988506
XXBTZUSD,100731.7,96500,99690,2260.678667,1736988506
XDGUSD,0.3877544,0.3483396,0.3744733,96846647.1,1736988506
